Locality,P_Democrat,P_Republican,S_Democrat,S_Republican
ACCOMACK COUNTY,0,1,0,1
ALBEMARLE COUNTY,1,0,1,0
ALEXANDRIA CITY,1,0,1,0
ALLEGHANY COUNTY,0,1,0,1
AMELIA COUNTY,0,1,0,1
AMHERST COUNTY,0,1,0,1
APPOMATTOX COUNTY,0,1,0,1
ARLINGTON COUNTY,1,0,1,0
AUGUSTA COUNTY,0,1,0,1
BATH COUNTY,0,1,0,1
BEDFORD COUNTY,0,1,0,1
BLAND COUNTY,0,1,0,1
BOTETOURT COUNTY,0,1,0,1
BRISTOL CITY,0,1,0,1
BRUNSWICK COUNTY,1,0,1,0
BUCHANAN COUNTY,0,1,0,1
BUCKINGHAM COUNTY,0,1,0,1
BUENA VISTA CITY,0,1,0,1
CAMPBELL COUNTY,0,1,0,1
CAROLINE COUNTY,0,1,1,0
CARROLL COUNTY,0,1,0,1
CHARLES CITY COUNTY,1,0,1,0
CHARLOTTE COUNTY,0,1,0,1
CHARLOTTESVILLE CITY,1,0,1,0
CHESAPEAKE CITY,1,0,1,0
CHESTERFIELD COUNTY,1,0,1,0
CLARKE COUNTY,0,1,0,1
COLONIAL HEIGHTS CITY,0,1,0,1
COVINGTON CITY,0,1,0,1
CRAIG COUNTY,0,1,0,1
CULPEPER COUNTY,0,1,0,1
CUMBERLAND COUNTY,0,1,0,1
DANVILLE CITY,1,0,1,0
DICKENSON COUNTY,0,1,0,1
DINWIDDIE COUNTY,0,1,0,1
EMPORIA CITY,1,0,1,0
ESSEX COUNTY,0,0,1,0
FAIRFAX CITY,1,0,1,0
FAIRFAX COUNTY,1,0,1,0
FALLS CHURCH CITY,1,0,1,0
FAUQUIER COUNTY,0,1,0,1
FLOYD COUNTY,0,1,0,1
FLUVANNA COUNTY,0,1,0,1
FRANKLIN CITY,1,0,1,0
FRANKLIN COUNTY,0,1,0,1
FREDERICK COUNTY,0,1,0,1
FREDERICKSBURG CITY,1,0,1,0
GALAX CITY,0,1,0,1
GILES COUNTY,0,1,0,1
GLOUCESTER COUNTY,0,1,0,1
GOOCHLAND COUNTY,0,1,0,1
GRAYSON COUNTY,0,1,0,1
GREENE COUNTY,0,1,0,1
GREENSVILLE COUNTY,1,0,1,0
HALIFAX COUNTY,0,1,0,1
HAMPTON CITY,1,0,1,0
HANOVER COUNTY,0,1,0,1
HARRISONBURG CITY,1,0,1,0
HENRICO COUNTY,1,0,1,0
HENRY COUNTY,0,1,0,1
HIGHLAND COUNTY,0,1,0,1
HOPEWELL CITY,1,0,1,0
ISLE OF WIGHT COUNTY,0,1,0,1
JAMES CITY COUNTY,1,0,1,0
KING & QUEEN COUNTY,0,1,0,1
KING GEORGE COUNTY,0,1,0,1
KING WILLIAM COUNTY,0,1,0,1
LANCASTER COUNTY,0,1,0,1
LEE COUNTY,0,1,0,1
LEXINGTON CITY,1,0,1,0
LOUDOUN COUNTY,1,0,1,0
LOUISA COUNTY,0,1,0,1
LUNENBURG COUNTY,0,1,0,1
LYNCHBURG CITY,0,0,1,0
MADISON COUNTY,0,1,0,1
MANASSAS CITY,1,0,1,0
MANASSAS PARK CITY,1,0,1,0
MARTINSVILLE CITY,1,0,1,0
MATHEWS COUNTY,0,1,0,1
MECKLENBURG COUNTY,0,1,0,1
MIDDLESEX COUNTY,0,1,0,1
MONTGOMERY COUNTY,1,0,1,0
NELSON COUNTY,0,1,1,0
NEW KENT COUNTY,0,1,0,1
NEWPORT NEWS CITY,1,0,1,0
NORFOLK CITY,1,0,1,0
NORTHAMPTON COUNTY,1,0,1,0
NORTHUMBERLAND COUNTY,0,1,0,1
NORTON CITY,0,1,0,1
NOTTOWAY COUNTY,0,1,0,1
ORANGE COUNTY,0,1,0,1
PAGE COUNTY,0,1,0,1
PATRICK COUNTY,0,1,0,1
PETERSBURG CITY,1,0,1,0
PITTSYLVANIA COUNTY,0,1,0,1
POQUOSON CITY,0,1,0,1
PORTSMOUTH CITY,1,0,1,0
POWHATAN COUNTY,0,1,0,1
PRINCE EDWARD COUNTY,1,0,1,0
PRINCE GEORGE COUNTY,0,1,0,1
PRINCE WILLIAM COUNTY,1,0,1,0
PULASKI COUNTY,0,1,0,1
RADFORD CITY,1,0,1,0
RAPPAHANNOCK COUNTY,0,1,0,1
RICHMOND CITY,1,0,1,0
RICHMOND COUNTY,0,1,0,1
ROANOKE CITY,1,0,1,0
ROANOKE COUNTY,0,1,0,1
ROCKBRIDGE COUNTY,0,1,0,1
ROCKINGHAM COUNTY,0,1,0,1
RUSSELL COUNTY,0,1,0,1
SALEM CITY,0,1,0,1
SCOTT COUNTY,0,1,0,1
SHENANDOAH COUNTY,0,1,0,1
SMYTH COUNTY,0,1,0,1
SOUTHAMPTON COUNTY,0,1,0,1
SPOTSYLVANIA COUNTY,0,1,0,1
STAFFORD COUNTY,1,0,1,0
STAUNTON CITY,1,0,1,0
SUFFOLK CITY,1,0,1,0
SURRY COUNTY,1,0,1,0
SUSSEX COUNTY,1,0,1,0
TAZEWELL COUNTY,0,1,0,1
VIRGINIA BEACH CITY,1,0,1,0
WARREN COUNTY,0,1,0,1
WASHINGTON COUNTY,0,1,0,1
WAYNESBORO CITY,0,1,0,1
WESTMORELAND COUNTY,0,1,0,1
WILLIAMSBURG CITY,1,0,1,0
WINCHESTER CITY,1,0,1,0
WISE COUNTY,0,1,0,1
WYTHE COUNTY,0,1,0,1
YORK COUNTY,0,1,0,1
