STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,FIPS,COUNTY
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,3/18/2020,5,0,,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,3/19/2020,,,0.4,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,3/20/2020,,,0,0,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,3/21/2020,,,0.18,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,3/22/2020,,,0,0,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,3/23/2020,,,0.78,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,3/24/2020,,,0.24,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,3/25/2020,,,0.83,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,3/26/2020,,,0,0,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,3/27/2020,,,0,0,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,3/28/2020,,,0.02,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,3/29/2020,,,0,0,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,3/30/2020,,,0,0,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,3/31/2020,,,0,0,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,4/1/2020,,,0.71,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,4/6/2020,,,0.12,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,4/8/2020,,,0.05,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,4/9/2020,,,0,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,4/10/2020,,,0.05,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,4/13/2020,,,0.05,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,4/14/2020,,,0.53,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,4/15/2020,,,0.18,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,4/18/2020,,,0.01,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,4/19/2020,,,0.43,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,4/21/2020,,,0.51,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,4/24/2020,,,0.21,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,4/25/2020,,,0.1,,,51830,Williamsburg County
US1VAYR0007,"WILLIAMSBURG 4.4 N, VA US",37.33323669,-76.71263123,24.1,4/26/2020,,,0.66,,,51830,Williamsburg County
