Locality,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Virginia,"8,001,024","8,001,049","8,023,699","8,101,155","8,185,080","8,252,427","8,310,993","8,361,808","8,410,106","8,463,587","8,501,286","8,535,519"
".Accomack County, Virginia","33,164","33,162","33,148","33,225","33,268","32,969","32,971","32,914","32,871","32,685","32,581","32,316"
".Albemarle County, Virginia","98,970","98,998","99,204","100,213","101,464","102,270","103,732","105,117","106,431","107,768","108,377","109,330"
".Alleghany County, Virginia","16,250","16,264","16,203","16,163","16,034","15,923","15,605","15,425","15,387","15,128","14,986","14,860"
".Amelia County, Virginia","12,690","12,695","12,746","12,752","12,745","12,656","12,713","12,784","12,801","12,980","13,057","13,145"
".Amherst County, Virginia","32,353","32,354","32,387","32,154","32,630","32,317","32,158","31,836","31,887","31,863","31,684","31,605"
".Appomattox County, Virginia","14,973","15,028","15,098","15,109","15,246","15,320","15,348","15,492","15,528","15,723","15,881","15,911"
".Arlington County, Virginia","207,627","207,696","209,295","215,990","221,454","224,894","225,980","228,548","231,259","234,647","236,025","236,842"
".Augusta County, Virginia","73,750","73,753","73,584","73,648","73,588","73,842","73,881","74,292","74,834","75,177","75,535","75,558"
".Bath County, Virginia","4,731","4,727","4,721","4,655","4,642","4,592","4,535","4,460","4,409","4,266","4,253","4,147"
".Bedford County, Virginia","68,676","74,929","75,035","75,554","75,750","76,177","77,034","77,629","77,993","78,378","78,882","78,997"
".Bland County, Virginia","6,824","6,824","6,799","6,773","6,692","6,673","6,583","6,532","6,472","6,354","6,303","6,280"
".Botetourt County, Virginia","33,148","33,152","33,199","33,005","33,123","32,994","33,080","33,380","33,252","33,313","33,352","33,419"
".Brunswick County, Virginia","17,434","17,426","17,402","17,127","17,032","16,984","16,825","16,845","16,618","16,570","16,336","16,231"
".Buchanan County, Virginia","24,098","24,102","24,084","23,824","23,822","23,625","23,152","22,752","22,212","21,604","21,369","21,004"
".Buckingham County, Virginia","17,146","17,140","17,091","17,213","17,068","17,150","16,931","17,017","17,051","17,038","17,043","17,148"
".Campbell County, Virginia","54,842","54,809","54,901","54,789","54,830","55,078","55,272","55,356","55,419","55,326","55,137","54,885"
".Caroline County, Virginia","28,545","28,554","28,635","28,672","28,949","29,248","29,741","29,900","30,099","30,432","30,751","30,725"
".Carroll County, Virginia","30,042","30,072","30,071","30,092","29,916","29,909","29,711","29,870","29,789","29,812","29,741","29,791"
".Charles City County, Virginia","7,256","7,256","7,259","7,205","7,126","7,072","6,978","7,046","7,034","7,026","7,000","6,963"
".Charlotte County, Virginia","12,586","12,597","12,568","12,499","12,401","12,279","12,175","12,179","12,119","12,077","11,944","11,880"
".Chesterfield County, Virginia","316,236","316,240","317,198","320,307","323,880","327,612","332,093","334,915","338,479","343,276","348,281","352,802"
".Clarke County, Virginia","14,034","14,025","14,012","14,190","14,245","14,253","14,315","14,239","14,294","14,454","14,511","14,619"
".Craig County, Virginia","5,190","5,175","5,198","5,169","5,138","5,138","5,176","5,136","5,120","5,062","5,102","5,131"
